model_id,pipeline_name,directory
ibm-granite/granite-vision-3.3-2b,image-to-text,granite-vision-3.3-2b
timm/deit_tiny_patch16_224.fb_in1k,image-classification,deit_tiny_patch16_224.fb_in1k
OpenMed/OpenMed-NER-DiseaseDetect-BioMed-335M,token-classification,OpenMed-NER-DiseaseDetect-BioMed-335M
FacebookAI/xlm-mlm-en-2048,fill-mask,xlm-mlm-en-2048
timm/efficientnet_b3.ra2_in1k,image-classification,efficientnet_b3.ra2_in1k
ahmedrachid/FinancialBERT-Sentiment-Analysis,text-classification,FinancialBERT-Sentiment-Analysis
dslim/bert-large-NER,token-classification,bert-large-NER
Xenova/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,Xenova__paraphrase-multilingual-MiniLM-L12-v2
deepset/tinyroberta-squad2,question-answering,tinyroberta-squad2
ibm-granite/granite-speech-4.1-2b-nar,image-feature-extraction,granite-speech-4.1-2b-nar
jbetker/wav2vec2-large-robust-ft-libritts-voxpopuli,automatic-speech-recognition,wav2vec2-large-robust-ft-libritts-voxpopuli
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,text-classification,twitter-xlm-roberta-base-sentiment-multilingual
typeform/distilbert-base-uncased-mnli,zero-shot-classification,distilbert-base-uncased-mnli
sentence-transformers/msmarco-MiniLM-L12-cos-v5,sentence-similarity,msmarco-MiniLM-L12-cos-v5
iiiorg/piiranha-v1-detect-personal-information,token-classification,piiranha-v1-detect-personal-information
facebook/s2t-small-librispeech-asr,automatic-speech-recognition,s2t-small-librispeech-asr
vinai/bartpho-syllable,feature-extraction,bartpho-syllable
OpenMed/OpenMed-NER-OncologyDetect-SuperClinical-434M,token-classification,OpenMed-NER-OncologyDetect-SuperClinical-434M
timm/vit_base_patch32_384.augreg_in21k_ft_in1k,image-classification,vit_base_patch32_384.augreg_in21k_ft_in1k
OpenMed/OpenMed-NER-BloodCancerDetect-ElectraMed-560M,token-classification,OpenMed-NER-BloodCancerDetect-ElectraMed-560M
airesearch/wangchanberta-base-att-spm-uncased,fill-mask,wangchanberta-base-att-spm-uncased
flaubert/flaubert_base_cased,fill-mask,flaubert_base_cased
timm/vit_large_patch16_siglip_256.v2_webli,image-feature-extraction,vit_large_patch16_siglip_256.v2_webli
KBLab/sentence-bert-swedish-cased,sentence-similarity,sentence-bert-swedish-cased
albert/albert-base-v1,fill-mask,albert-base-v1
ivrit-ai/pyannote-speaker-diarization-3.1,automatic-speech-recognition,pyannote-speaker-diarization-3.1
funnel-transformer/small,feature-extraction,small
facebook/sam2-hiera-base-plus,mask-generation,sam2-hiera-base-plus
timm/vgg19.tv_in1k,image-classification,vgg19.tv_in1k
jinaai/jina-embeddings-v2-base-en,feature-extraction,jina-embeddings-v2-base-en
OpenMed/OpenMed-NER-PharmaDetect-BioPatient-108M,token-classification,OpenMed-NER-PharmaDetect-BioPatient-108M
OpenMed/OpenMed-NER-ProteinDetect-SuperClinical-141M,token-classification,OpenMed-NER-ProteinDetect-SuperClinical-141M
weiweishi/roc-bert-base-zh,fill-mask,roc-bert-base-zh
google/siglip2-base-patch16-512,zero-shot-image-classification,siglip2-base-patch16-512
ai-forever/FRIDA,feature-extraction,FRIDA
studio-ousia/luke-base,fill-mask,luke-base
OpenMed/OpenMed-NER-SpeciesDetect-ModernClinical-395M,token-classification,OpenMed-NER-SpeciesDetect-ModernClinical-395M
BAAI/AltCLIP,zero-shot-image-classification,AltCLIP
timm/ViT-SO400M-14-SigLIP-384,zero-shot-image-classification,ViT-SO400M-14-SigLIP-384
yangheng/deberta-v3-large-absa-v1.1,text-classification,deberta-v3-large-absa-v1.1
facebook/mbart-large-en-ro,translation,mbart-large-en-ro
alibaba-damo/mgp-str-base,image-to-text,mgp-str-base
microsoft/unixcoder-base,feature-extraction,unixcoder-base
mixedbread-ai/mxbai-rerank-base-v2,text-ranking,mxbai-rerank-base-v2
nlpai-lab/KURE-v1,feature-extraction,KURE-v1
susnato/clvp_dev,feature-extraction,clvp_dev
junnyu/roformer_chinese_small,fill-mask,roformer_chinese_small
pythainlp/thainer-corpus-v2-base-model,token-classification,thainer-corpus-v2-base-model
microsoft/speecht5_asr,automatic-speech-recognition,speecht5_asr
laion/CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup,zero-shot-image-classification,CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup
microsoft/trocr-large-printed,image-to-text,trocr-large-printed
OpenMed/OpenMed-NER-PharmaDetect-BigMed-560M,token-classification,OpenMed-NER-PharmaDetect-BigMed-560M
microsoft/trocr-base-handwritten,image-to-text,trocr-base-handwritten
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,image-segmentation,segformer-b5-finetuned-cityscapes-1024-1024
nlpaueb/legal-bert-base-uncased,fill-mask,legal-bert-base-uncased
dima806/man_woman_face_image_detection,image-classification,man_woman_face_image_detection
ISxOdin/vit-base-oxford-iiit-pets,image-classification,vit-base-oxford-iiit-pets
laion/larger_clap_general,feature-extraction,larger_clap_general
moussaKam/mbarthez,fill-mask,mbarthez
emarro/pcad2-200M-cnet-baseline,image-feature-extraction,pcad2-200M-cnet-baseline
timm/tf_efficientnetv2_s.in21k,image-classification,tf_efficientnetv2_s.in21k
descript/dac_44khz,feature-extraction,dac_44khz
tau/splinter-base,question-answering,splinter-base
depth-anything/DA3NESTED-GIANT-LARGE-1.1,depth-estimation,DA3NESTED-GIANT-LARGE-1.1
optimum-intel-internal-testing/tiny-random-vit,image-classification,tiny-random-vit
rizvandwiki/gender-classification-2,image-classification,gender-classification-2
zai-org/GLM-ASR-Nano-2512,automatic-speech-recognition,GLM-ASR-Nano-2512
deepmind/language-perceiver,fill-mask,language-perceiver
OpenMed/OpenMed-NER-GenomicDetect-PubMed-109M,token-classification,OpenMed-NER-GenomicDetect-PubMed-109M
timm/convnext_nano.in12k_ft_in1k,image-classification,convnext_nano.in12k_ft_in1k
OpenMed/OpenMed-NER-GenomeDetect-ModernMed-149M,token-classification,OpenMed-NER-GenomeDetect-ModernMed-149M
timm/vit_base_patch14_reg4_dinov2.lvd142m,image-feature-extraction,vit_base_patch14_reg4_dinov2.lvd142m
efederici/e5-base-multilingual-4096,sentence-similarity,e5-base-multilingual-4096
PaddlePaddle/PP-OCRv5_mobile_det,image-to-text,PP-OCRv5_mobile_det
apple/MobileCLIP-S2-OpenCLIP,zero-shot-image-classification,MobileCLIP-S2-OpenCLIP
jonatasgrosman/wav2vec2-large-xlsr-53-german,automatic-speech-recognition,wav2vec2-large-xlsr-53-german
flair/ner-german-large,token-classification,ner-german-large
microsoft/infoxlm-large,fill-mask,infoxlm-large
nielsr/canine-s,feature-extraction,canine-s
timm/beitv2_base_patch16_224.in1k_ft_in22k,image-classification,beitv2_base_patch16_224.in1k_ft_in22k
martin-ha/toxic-comment-model,text-classification,toxic-comment-model
Jean-Baptiste/camembert-ner,token-classification,camembert-ner
tabularisai/multilingual-sentiment-analysis,text-classification,multilingual-sentiment-analysis
timm/wide_resnet101_2.tv_in1k,image-classification,wide_resnet101_2.tv_in1k
facebook/sam3.1,mask-generation,sam3.1
Xenova/multilingual-e5-small,feature-extraction,Xenova__multilingual-e5-small
timm/naflexvit_so400m_patch16_siglip.v2_webli,image-feature-extraction,naflexvit_so400m_patch16_siglip.v2_webli
OrcaDB/gte-base-en-v1.5,sentence-similarity,OrcaDB__gte-base-en-v1_5
unslothai/vram-48,feature-extraction,vram-48
sentence-transformers/multi-qa-distilbert-dot-v1,sentence-similarity,multi-qa-distilbert-dot-v1
snunlp/KR-SBERT-V40K-klueNLI-augSTS,sentence-similarity,KR-SBERT-V40K-klueNLI-augSTS
Organika/sdxl-detector,image-classification,sdxl-detector
Snowflake/snowflake-arctic-embed-m-long,sentence-similarity,snowflake-arctic-embed-m-long
flair/ner-english-ontonotes-large,token-classification,ner-english-ontonotes-large
intfloat/e5-large,sentence-similarity,e5-large
superb/hubert-large-superb-er,audio-classification,hubert-large-superb-er
sentence-transformers/msmarco-distilbert-base-v4,sentence-similarity,msmarco-distilbert-base-v4
OpenMed/OpenMed-NER-GenomicDetect-BigMed-560M,token-classification,OpenMed-NER-GenomicDetect-BigMed-560M
mlx-community/whisper-large-v3-mlx,automatic-speech-recognition,whisper-large-v3-mlx
shibing624/text2vec-base-multilingual,sentence-similarity,text2vec-base-multilingual
iarfmoose/bert-base-cased-qa-evaluator,text-classification,bert-base-cased-qa-evaluator
qandos0/SentimentArEng,text-classification,SentimentArEng
google-bert/bert-large-cased,fill-mask,bert-large-cased
jinaai/jina-embeddings-v5-text-small-retrieval,sentence-similarity,jina-embeddings-v5-text-small-retrieval
ckiplab/albert-tiny-chinese-ws,token-classification,albert-tiny-chinese-ws
corto-ai/nomic-embed-text-v1,sentence-similarity,corto-ai__nomic-embed-text-v1
PlanTL-GOB-ES/bsc-bio-ehr-es,fill-mask,bsc-bio-ehr-es
OpenMed/OpenMed-NER-PharmaDetect-BigMed-278M,token-classification,OpenMed-NER-PharmaDetect-BigMed-278M
timm/ViT-B-16-SigLIP,zero-shot-image-classification,ViT-B-16-SigLIP
vectara/hallucination_evaluation_model,text-classification,hallucination_evaluation_model
anton-l/wav2vec2-large-xlsr-53-mongolian,automatic-speech-recognition,wav2vec2-large-xlsr-53-mongolian
cross-encoder/nli-MiniLM2-L6-H768,zero-shot-classification,nli-MiniLM2-L6-H768
OpenMed/OpenMed-NER-ChemicalDetect-PubMed-335M,token-classification,OpenMed-NER-ChemicalDetect-PubMed-335M
deepset/bert-medium-squad2-distilled,question-answering,bert-medium-squad2-distilled
Helsinki-NLP/opus-mt-en-zh,translation,opus-mt-en-zh
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,text-classification,bert-base-arabic-camelbert-mix-sentiment
tomh/toxigen_roberta,text-classification,toxigen_roberta
OpenMed/OpenMed-NER-OrganismDetect-BioMed-109M,token-classification,OpenMed-NER-OrganismDetect-BioMed-109M
timm/tf_efficientnet_b0.ns_jft_in1k,image-classification,tf_efficientnet_b0.ns_jft_in1k
jinaai/jina-clip-v2,feature-extraction,jina-clip-v2
facebook/dinov2-with-registers-base,image-feature-extraction,dinov2-with-registers-base
timm/convnext_tiny.fb_in22k_ft_in1k,image-classification,convnext_tiny.fb_in22k_ft_in1k
ckiplab/bert-base-chinese-ws,token-classification,bert-base-chinese-ws
numind/NuExtract3,image-to-text,NuExtract3
OFA-Sys/chinese-clip-vit-large-patch14,zero-shot-image-classification,chinese-clip-vit-large-patch14
elastic/distilbert-base-uncased-finetuned-conll03-english,token-classification,distilbert-base-uncased-finetuned-conll03-english
OpenMed/OpenMed-NER-PathologyDetect-BigMed-560M,token-classification,OpenMed-NER-PathologyDetect-BigMed-560M
timm/tf_mobilenetv3_large_minimal_100.in1k,image-classification,tf_mobilenetv3_large_minimal_100.in1k
OpenMed/OpenMed-NER-DiseaseDetect-SuperClinical-434M,token-classification,OpenMed-NER-DiseaseDetect-SuperClinical-434M
optimum-intel-internal-testing/pix2struct-tiny-random,image-to-text,pix2struct-tiny-random
facebook/bart-large,feature-extraction,bart-large
avsolatorio/GIST-small-Embedding-v0,sentence-similarity,GIST-small-Embedding-v0
faisalq/bert-base-arapoembert,fill-mask,bert-base-arapoembert
tomaarsen/span-marker-mbert-base-multinerd,token-classification,span-marker-mbert-base-multinerd
MoritzLaurer/deberta-v3-base-zeroshot-v2.0,zero-shot-classification,deberta-v3-base-zeroshot-v2.0
timm/MobileCLIP2-S4-OpenCLIP,zero-shot-image-classification,MobileCLIP2-S4-OpenCLIP
onnx-community/whisper-small,automatic-speech-recognition,onnx-community__whisper-small
microsoft/deberta-v3-xsmall,fill-mask,deberta-v3-xsmall
nvidia/segformer-b1-finetuned-ade-512-512,image-segmentation,segformer-b1-finetuned-ade-512-512
timm/vit_base_patch16_clip_224.openai,image-feature-extraction,vit_base_patch16_clip_224.openai
OpenMed/OpenMed-NER-PathologyDetect-PubMed-109M,token-classification,OpenMed-NER-PathologyDetect-PubMed-109M
timm/densenet121.ra_in1k,image-classification,densenet121.ra_in1k
microsoft/infoxlm-base,fill-mask,infoxlm-base
sshleifer/distilbart-xsum-12-6,summarization,distilbart-xsum-12-6
shi-labs/oneformer_ade20k_swin_large,image-segmentation,oneformer_ade20k_swin_large
cahya/bert-base-indonesian-NER,token-classification,bert-base-indonesian-NER
ibm-granite/granite-4.0-1b-speech,automatic-speech-recognition,granite-4.0-1b-speech
aari1995/German_Semantic_STS_V2,sentence-similarity,German_Semantic_STS_V2
cis-lmu/glotlid,text-classification,glotlid
nvidia/canary-1b-v2,automatic-speech-recognition,canary-1b-v2
westlake-repl/SaProt_650M_AF2,fill-mask,SaProt_650M_AF2
shibing624/text2vec-base-chinese-paraphrase,sentence-similarity,text2vec-base-chinese-paraphrase
Helsinki-NLP/opus-mt-tc-big-en-pt,translation,opus-mt-tc-big-en-pt
timm/convnext_small.in12k_ft_in1k,image-classification,convnext_small.in12k_ft_in1k
facebook/esm1v_t33_650M_UR90S_1,fill-mask,esm1v_t33_650M_UR90S_1
laion/larger_clap_music,feature-extraction,larger_clap_music
nreimers/TinyBERT_L-4_H-312_v2,feature-extraction,TinyBERT_L-4_H-312_v2
OpenMed/OpenMed-NER-ProteinDetect-SnowMed-568M,token-classification,OpenMed-NER-ProteinDetect-SnowMed-568M
OpenMed/OpenMed-NER-GenomeDetect-PubMed-109M,token-classification,OpenMed-NER-GenomeDetect-PubMed-109M
Synthyra/Profluent-E1-300M,fill-mask,Profluent-E1-300M
OpenMed/OpenMed-NER-OncologyDetect-SuperMedical-355M,token-classification,OpenMed-NER-OncologyDetect-SuperMedical-355M
PekingU/rtdetr_v2_r18vd,object-detection,rtdetr_v2_r18vd
Stern5497/sbert-legal-xlm-roberta-base,sentence-similarity,sbert-legal-xlm-roberta-base
sentence-transformers/stsb-xlm-r-multilingual,sentence-similarity,stsb-xlm-r-multilingual
cross-encoder/stsb-distilroberta-base,text-ranking,stsb-distilroberta-base
MahmoodLab/UNI,image-feature-extraction,UNI
openai/whisper-large-v2,automatic-speech-recognition,whisper-large-v2
optimum-intel-internal-testing/tiny-random-bigbird_pegasus,feature-extraction,tiny-random-bigbird_pegasus
OpenMed/OpenMed-NER-AnatomyDetect-SuperClinical-434M,token-classification,OpenMed-NER-AnatomyDetect-SuperClinical-434M
PORTULAN/serafim-900m-portuguese-pt-sentence-encoder-ir,sentence-similarity,serafim-900m-portuguese-pt-sentence-encoder-ir
princeton-nlp/sup-simcse-bert-base-uncased,feature-extraction,sup-simcse-bert-base-uncased
speechbrain/lang-id-voxlingua107-ecapa,audio-classification,lang-id-voxlingua107-ecapa
MahmoodLab/TITAN,image-feature-extraction,TITAN
unslothai/vram-96,feature-extraction,vram-96
dleemiller/finecat-nli-s,text-classification,finecat-nli-s
relik-ie/encoder-e5-small-v2-wikipedia-relations,image-feature-extraction,encoder-e5-small-v2-wikipedia-relations
unslothai/vram-80,feature-extraction,vram-80
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,zero-shot-classification,DeBERTa-v3-base-mnli-fever-anli
vinai/phobert-base-v2,fill-mask,phobert-base-v2
OpenMed/OpenMed-NER-BloodCancerDetect-ModernMed-149M,token-classification,OpenMed-NER-BloodCancerDetect-ModernMed-149M
OpenMed/OpenMed-NER-DNADetect-SnowMed-568M,token-classification,OpenMed-NER-DNADetect-SnowMed-568M
rtr46/meiki.txt.recognition.v0,image-to-text,meiki.txt.recognition.v0
OpenMed/OpenMed-NER-OncologyDetect-ElectraMed-33M,token-classification,OpenMed-NER-OncologyDetect-ElectraMed-33M
OpenMed/OpenMed-NER-ChemicalDetect-BioMed-335M,token-classification,OpenMed-NER-ChemicalDetect-BioMed-335M
OpenMed/OpenMed-NER-ProteinDetect-TinyMed-135M,token-classification,OpenMed-NER-ProteinDetect-TinyMed-135M
hfl/chinese-roberta-wwm-ext,fill-mask,chinese-roberta-wwm-ext
rv2307/electra-small-ner,token-classification,electra-small-ner
OpenMed/OpenMed-NER-GenomicDetect-SuperMedical-125M,token-classification,OpenMed-NER-GenomicDetect-SuperMedical-125M
OpenMed/OpenMed-NER-BloodCancerDetect-SnowMed-568M,token-classification,OpenMed-NER-BloodCancerDetect-SnowMed-568M
OpenMed/OpenMed-NER-GenomicDetect-MultiMed-335M,token-classification,OpenMed-NER-GenomicDetect-MultiMed-335M
OpenMed/OpenMed-NER-GenomeDetect-ElectraMed-560M,token-classification,OpenMed-NER-GenomeDetect-ElectraMed-560M
OpenMed/OpenMed-NER-PathologyDetect-SuperClinical-184M,token-classification,OpenMed-NER-PathologyDetect-SuperClinical-184M
SAVSNET/PetBERT,fill-mask,PetBERT
OpenMed/OpenMed-NER-DiseaseDetect-ElectraMed-560M,token-classification,OpenMed-NER-DiseaseDetect-ElectraMed-560M
OpenMed/OpenMed-NER-OncologyDetect-ElectraMed-109M,token-classification,OpenMed-NER-OncologyDetect-ElectraMed-109M
agufsamudra/indo-sentiment-analysis,text-classification,indo-sentiment-analysis
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,text-classification,bert-base-indonesian-1.5G-sentiment-analysis-smsa
OpenMed/OpenMed-NER-ChemicalDetect-ElectraMed-560M,token-classification,OpenMed-NER-ChemicalDetect-ElectraMed-560M
OpenMed/OpenMed-NER-OrganismDetect-PubMed-335M,token-classification,OpenMed-NER-OrganismDetect-PubMed-335M
OpenMed/OpenMed-NER-PathologyDetect-SnowMed-568M,token-classification,OpenMed-NER-PathologyDetect-SnowMed-568M
OpenMed/OpenMed-NER-SpeciesDetect-PubMed-109M,token-classification,OpenMed-NER-SpeciesDetect-PubMed-109M
OpenMed/OpenMed-NER-ProteinDetect-BioClinical-108M,token-classification,OpenMed-NER-ProteinDetect-BioClinical-108M
timm/deit_small_patch16_224.fb_in1k,image-classification,deit_small_patch16_224.fb_in1k
nikolamilosevic/SCIFACT_xlm_roberta_large,text-classification,SCIFACT_xlm_roberta_large
OpenMed/OpenMed-NER-SpeciesDetect-ModernMed-395M,token-classification,OpenMed-NER-SpeciesDetect-ModernMed-395M
j-hartmann/sentiment-roberta-large-english-3-classes,text-classification,sentiment-roberta-large-english-3-classes
OpenMed/OpenMed-NER-OrganismDetect-ModernMed-395M,token-classification,OpenMed-NER-OrganismDetect-ModernMed-395M
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,zero-shot-classification,deberta-v3-large-zeroshot-v2.0
OpenMed/OpenMed-NER-PharmaDetect-SuperMedical-125M,token-classification,OpenMed-NER-PharmaDetect-SuperMedical-125M
OpenMed/OpenMed-NER-ProteinDetect-ElectraMed-335M,token-classification,OpenMed-NER-ProteinDetect-ElectraMed-335M
OpenMed/OpenMed-NER-GenomeDetect-EuroMed-212M,token-classification,OpenMed-NER-GenomeDetect-EuroMed-212M
OpenMed/OpenMed-NER-SpeciesDetect-TinyMed-135M,token-classification,OpenMed-NER-SpeciesDetect-TinyMed-135M
OpenMed/OpenMed-NER-GenomicDetect-BigMed-278M,token-classification,OpenMed-NER-GenomicDetect-BigMed-278M
OpenMed/OpenMed-NER-OrganismDetect-SuperClinical-434M,token-classification,OpenMed-NER-OrganismDetect-SuperClinical-434M
OpenMed/OpenMed-NER-GenomeDetect-ModernMed-395M,token-classification,OpenMed-NER-GenomeDetect-ModernMed-395M
keepitreal/vietnamese-sbert,sentence-similarity,vietnamese-sbert
OpenMed/OpenMed-NER-BloodCancerDetect-SuperMedical-355M,token-classification,OpenMed-NER-BloodCancerDetect-SuperMedical-355M
OpenMed/OpenMed-NER-DNADetect-ModernClinical-149M,token-classification,OpenMed-NER-DNADetect-ModernClinical-149M
siddharthtumre/biobert-finetuned-ner,token-classification,biobert-finetuned-ner
OpenMed/OpenMed-NER-AnatomyDetect-BigMed-278M,token-classification,OpenMed-NER-AnatomyDetect-BigMed-278M
OpenMed/OpenMed-NER-BloodCancerDetect-PubMed-335M,token-classification,OpenMed-NER-BloodCancerDetect-PubMed-335M
OpenMed/OpenMed-NER-OncologyDetect-BioClinical-108M,token-classification,OpenMed-NER-OncologyDetect-BioClinical-108M
OpenMed/OpenMed-NER-BloodCancerDetect-BioMed-335M,token-classification,OpenMed-NER-BloodCancerDetect-BioMed-335M
OpenMed/OpenMed-NER-GenomeDetect-ModernClinical-149M,token-classification,OpenMed-NER-GenomeDetect-ModernClinical-149M
OpenMed/OpenMed-NER-BloodCancerDetect-TinyMed-66M,token-classification,OpenMed-NER-BloodCancerDetect-TinyMed-66M
OpenMed/OpenMed-NER-PathologyDetect-ModernClinical-149M,token-classification,OpenMed-NER-PathologyDetect-ModernClinical-149M
OpenMed/OpenMed-NER-ProteinDetect-MultiMed-568M,token-classification,OpenMed-NER-ProteinDetect-MultiMed-568M
OpenMed/OpenMed-NER-DNADetect-BioMed-335M,token-classification,OpenMed-NER-DNADetect-BioMed-335M
OpenMed/OpenMed-NER-OrganismDetect-TinyMed-66M,token-classification,OpenMed-NER-OrganismDetect-TinyMed-66M
OpenMed/OpenMed-NER-SpeciesDetect-TinyMed-66M,token-classification,OpenMed-NER-SpeciesDetect-TinyMed-66M
OpenMed/OpenMed-NER-DiseaseDetect-ModernClinical-395M,token-classification,OpenMed-NER-DiseaseDetect-ModernClinical-395M
OpenMed/OpenMed-NER-GenomicDetect-SuperMedical-355M,token-classification,OpenMed-NER-GenomicDetect-SuperMedical-355M
OpenMed/OpenMed-NER-GenomicDetect-ModernClinical-395M,token-classification,OpenMed-NER-GenomicDetect-ModernClinical-395M
OpenMed/OpenMed-NER-OrganismDetect-ElectraMed-109M,token-classification,OpenMed-NER-OrganismDetect-ElectraMed-109M
OpenMed/OpenMed-NER-PathologyDetect-MultiMed-568M,token-classification,OpenMed-NER-PathologyDetect-MultiMed-568M
deepvk/USER-base,sentence-similarity,USER-base
OpenMed/OpenMed-NER-ProteinDetect-ElectraMed-109M,token-classification,OpenMed-NER-ProteinDetect-ElectraMed-109M
OpenMed/OpenMed-NER-ProteinDetect-TinyMed-82M,token-classification,OpenMed-NER-ProteinDetect-TinyMed-82M
OpenMed/OpenMed-NER-ChemicalDetect-SuperClinical-434M,token-classification,OpenMed-NER-ChemicalDetect-SuperClinical-434M
OpenMed/OpenMed-NER-BloodCancerDetect-MultiMed-568M,token-classification,OpenMed-NER-BloodCancerDetect-MultiMed-568M
OpenMed/OpenMed-NER-GenomicDetect-MultiMed-568M,token-classification,OpenMed-NER-GenomicDetect-MultiMed-568M
OpenMed/OpenMed-NER-ProteinDetect-BigMed-560M,token-classification,OpenMed-NER-ProteinDetect-BigMed-560M
OpenMed/OpenMed-NER-ChemicalDetect-ElectraMed-109M,token-classification,OpenMed-NER-ChemicalDetect-ElectraMed-109M
Jean-Baptiste/camembert-ner-with-dates,token-classification,camembert-ner-with-dates
OpenMed/OpenMed-NER-GenomicDetect-ModernMed-149M,token-classification,OpenMed-NER-GenomicDetect-ModernMed-149M
OpenMed/OpenMed-NER-PharmaDetect-EuroMed-212M,token-classification,OpenMed-NER-PharmaDetect-EuroMed-212M
OpenMed/OpenMed-NER-DNADetect-TinyMed-65M,token-classification,OpenMed-NER-DNADetect-TinyMed-65M
OpenMed/OpenMed-NER-BloodCancerDetect-BioMed-109M,token-classification,OpenMed-NER-BloodCancerDetect-BioMed-109M
OpenMed/OpenMed-NER-OncologyDetect-TinyMed-135M,token-classification,OpenMed-NER-OncologyDetect-TinyMed-135M
OpenMed/OpenMed-NER-ChemicalDetect-TinyMed-135M,token-classification,OpenMed-NER-ChemicalDetect-TinyMed-135M
OpenMed/OpenMed-NER-OncologyDetect-TinyMed-66M,token-classification,OpenMed-NER-OncologyDetect-TinyMed-66M
sentence-transformers/multi-qa-mpnet-base-cos-v1,sentence-similarity,multi-qa-mpnet-base-cos-v1
OpenMed/OpenMed-NER-DNADetect-ElectraMed-335M,token-classification,OpenMed-NER-DNADetect-ElectraMed-335M
OpenMed/OpenMed-NER-AnatomyDetect-MultiMed-568M,token-classification,OpenMed-NER-AnatomyDetect-MultiMed-568M
OpenMed/OpenMed-NER-PathologyDetect-ElectraMed-335M,token-classification,OpenMed-NER-PathologyDetect-ElectraMed-335M
OpenMed/OpenMed-NER-DNADetect-PubMed-v2-109M,token-classification,OpenMed-NER-DNADetect-PubMed-v2-109M
OpenMed/OpenMed-NER-OrganismDetect-TinyMed-135M,token-classification,OpenMed-NER-OrganismDetect-TinyMed-135M
OpenMed/OpenMed-NER-ChemicalDetect-BioMed-109M,token-classification,OpenMed-NER-ChemicalDetect-BioMed-109M
OpenMed/OpenMed-NER-AnatomyDetect-ModernMed-149M,token-classification,OpenMed-NER-AnatomyDetect-ModernMed-149M
OpenMed/OpenMed-NER-OrganismDetect-PubMed-109M,token-classification,OpenMed-NER-OrganismDetect-PubMed-109M
OpenMed/OpenMed-NER-OrganismDetect-ModernClinical-149M,token-classification,OpenMed-NER-OrganismDetect-ModernClinical-149M
OpenMed/OpenMed-NER-SpeciesDetect-ElectraMed-335M,token-classification,OpenMed-NER-SpeciesDetect-ElectraMed-335M
OpenMed/OpenMed-NER-SpeciesDetect-BioPatient-108M,token-classification,OpenMed-NER-SpeciesDetect-BioPatient-108M
histai/hibou-L,image-feature-extraction,hibou-L
OpenMed/OpenMed-NER-PathologyDetect-SuperClinical-434M,token-classification,OpenMed-NER-PathologyDetect-SuperClinical-434M
deepset/xlm-roberta-large-squad2,question-answering,xlm-roberta-large-squad2
OpenMed/OpenMed-NER-DNADetect-TinyMed-66M,token-classification,OpenMed-NER-DNADetect-TinyMed-66M
OpenMed/OpenMed-NER-ChemicalDetect-ModernClinical-395M,token-classification,OpenMed-NER-ChemicalDetect-ModernClinical-395M
OpenMed/OpenMed-NER-PathologyDetect-SuperMedical-355M,token-classification,OpenMed-NER-PathologyDetect-SuperMedical-355M
OpenMed/OpenMed-PII-German-SuperClinical-Small-44M-v1,token-classification,OpenMed-PII-German-SuperClinical-Small-44M-v1
OpenMed/OpenMed-NER-OncologyDetect-SuperMedical-125M,token-classification,OpenMed-NER-OncologyDetect-SuperMedical-125M
OpenMed/OpenMed-NER-GenomicDetect-SuperClinical-434M,token-classification,OpenMed-NER-GenomicDetect-SuperClinical-434M
dunzhang/stella-mrl-large-zh-v3.5-1792d,sentence-similarity,stella-mrl-large-zh-v3.5-1792d
OpenMed/OpenMed-NER-GenomicDetect-TinyMed-135M,token-classification,OpenMed-NER-GenomicDetect-TinyMed-135M
nvidia/segformer-b5-finetuned-ade-640-640,image-segmentation,segformer-b5-finetuned-ade-640-640
timm/rexnet_150.nav_in1k,image-classification,rexnet_150.nav_in1k
timm/convnextv2_tiny.fcmae_ft_in22k_in1k,image-classification,convnextv2_tiny.fcmae_ft_in22k_in1k
HIT-TMG/KaLM-embedding-multilingual-mini-v1,sentence-similarity,KaLM-embedding-multilingual-mini-v1
JungleLee/bert-toxic-comment-classification,text-classification,bert-toxic-comment-classification
google/siglip2-base-patch16-384,zero-shot-image-classification,siglip2-base-patch16-384
vibhorag101/roberta-base-suicide-prediction-phr,text-classification,roberta-base-suicide-prediction-phr
AbeHou/SemStamp-c4-sbert,feature-extraction,SemStamp-c4-sbert
OpenMed/OpenMed-NER-GenomeDetect-SuperClinical-434M,token-classification,OpenMed-NER-GenomeDetect-SuperClinical-434M
unsloth/bge-small-en-v1.5,feature-extraction,unsloth__bge-small-en-v1_5
Xenova/clip-vit-base-patch16,zero-shot-image-classification,Xenova__clip-vit-base-patch16
Davlan/distilbert-base-multilingual-cased-ner-hrl,token-classification,distilbert-base-multilingual-cased-ner-hrl
w11wo/indonesian-roberta-base-sentiment-classifier,text-classification,indonesian-roberta-base-sentiment-classifier
timm/resnet18.fb_swsl_ig1b_ft_in1k,image-classification,resnet18.fb_swsl_ig1b_ft_in1k
facebook/hubert-large-ll60k,feature-extraction,hubert-large-ll60k
